Time: 08.07.2022 13:57:23;;;
Team: test;;;
Athlete name: Lasse I;;;
Device: NORDIC07;;;
Comment: ;;;
#SampleTime[s];Force_left[N];Force_right[N];
0.4280;1.04;-0.90;
0.4290;0.90;-0.97;
0.4300;0.72;-0.54;
0.4310;0.46;-0.32;
0.4320;0.20;-0.35;
0.4330;0.10;-0.13;
0.4340;0.09;-0.20;
0.4350;-0.01;-0.02;
0.4360;-0.35;-0.02;
0.4370;-0.55;0.29;
0.4380;-0.67;0.48;
0.4390;-1.08;0.80;
0.4400;-1.42;1.07;
0.4410;-1.36;0.85;
0.4420;-0.87;0.74;
0.4430;-0.33;0.47;
0.4440;-0.19;0.35;
0.4450;-0.03;-0.09;
0.4460;0.58;-0.52;
0.4470;0.78;-0.67;
0.4480;1.22;-0.92;
0.4490;0.87;-0.83;
0.4500;0.60;-0.48;
0.4510;0.51;-0.40;
0.4520;0.19;-0.31;
0.4530;0.32;-0.30;
0.4540;0.11;-0.24;
0.4550;0.08;-0.07;
0.4560;-0.30;0.05;
0.4570;-0.41;0.14;
0.4580;-0.70;0.54;
0.4590;-1.16;0.97;
0.4600;-1.46;1.04;
0.4610;-1.06;0.90;
0.4620;-0.78;0.43;
0.4630;-0.38;0.36;
0.4640;-0.28;0.17;
0.4650;-0.03;-0.29;
0.4660;0.70;-0.71;
0.4670;0.83;-0.96;
0.4680;1.14;-1.02;
0.4690;1.02;-1.01;
0.4700;0.82;-0.75;
0.4710;0.57;-0.70;
0.4720;0.30;-0.65;
0.4730;0.16;-0.46;
0.4740;0.25;-0.41;
0.4750;-0.10;-0.37;
0.4760;-0.30;-0.13;
0.4770;-0.39;-0.12;
0.4780;-0.60;0.02;
0.4790;-1.10;0.46;
0.4800;-1.41;0.46;
0.4810;-1.35;0.44;
0.4820;-0.85;0.01;
0.4830;-0.45;-0.33;
0.4840;-0.30;-0.27;
0.4850;0.25;-0.84;
0.4860;0.56;-1.20;
0.4870;1.07;-1.44;
0.4880;1.21;-1.68;
0.4890;0.89;-1.59;
0.4900;0.60;-1.38;
0.4910;0.52;-1.35;
0.4920;0.19;-1.25;
0.4930;0.29;-1.08;
0.4940;0.22;-1.11;
0.4950;-0.16;-0.92;
0.4960;-0.30;-0.80;
0.4970;-0.37;-0.91;
0.4980;-0.64;-0.72;
0.4990;-1.23;-0.40;
0.5000;-1.43;-0.35;
0.5010;-1.19;-0.45;
0.5020;-0.83;-0.81;
0.5030;-0.43;-1.22;
0.5040;-0.40;-1.41;
0.5050;0.00;-1.79;
0.5060;0.84;-2.26;
0.5070;0.75;-2.32;
0.5080;1.02;-2.51;
0.5090;1.06;-2.63;
0.5100;0.68;-2.46;
0.5110;0.37;-2.52;
0.5120;0.13;-2.24;
0.5130;0.03;-2.26;
0.5140;0.12;-2.25;
0.5150;-0.01;-2.00;
0.5160;-0.34;-1.92;
0.5170;-0.40;-1.67;
0.5180;-0.80;-1.89;
0.5190;-1.07;-1.48;
0.5200;-1.55;-1.21;
0.5210;-1.27;-1.35;
0.5220;-0.70;-1.65;
0.5230;-0.46;-2.13;
0.5240;-0.13;-2.14;
0.5250;0.12;-2.58;
0.5260;0.56;-3.06;
0.5270;0.87;-3.39;
0.5280;1.03;-3.43;
0.5290;0.94;-3.36;
0.5300;0.66;-3.17;
0.5310;0.48;-2.97;
0.5320;0.35;-2.88;
0.5330;0.12;-2.71;
0.5340;-0.03;-2.78;
0.5350;-0.22;-2.62;
0.5360;-0.31;-2.43;
0.5370;-0.44;-2.46;
0.5380;-0.64;-2.09;
0.5390;-1.07;-1.75;
0.5400;-1.49;-1.63;
0.5410;-1.26;-1.76;
0.5420;-0.93;-2.06;
0.5430;-0.40;-2.29;
0.5440;-0.11;-2.51;
0.5450;0.25;-2.83;
0.5460;0.57;-3.16;
0.5470;0.65;-3.37;
0.5480;1.01;-3.60;
0.5490;0.91;-3.48;
0.5500;0.78;-3.21;
0.5510;0.69;-2.91;
0.5520;0.37;-2.96;
0.5530;0.27;-2.92;
0.5540;-0.01;-2.73;
0.5550;-0.14;-2.62;
0.5560;-0.35;-2.48;
0.5570;-0.53;-2.53;
0.5580;-0.70;-2.25;
0.5590;-1.12;-1.82;
0.5600;-1.18;-1.59;
0.5610;-1.27;-1.67;
0.5620;-0.85;-2.00;
0.5630;-0.46;-2.21;
0.5640;-0.32;-2.43;
0.5650;0.19;-2.77;
0.5660;0.65;-3.12;
0.5670;0.99;-3.58;
0.5680;1.21;-3.74;
0.5690;0.88;-3.59;
0.5700;0.65;-3.19;
0.5710;0.57;-3.16;
0.5720;0.32;-3.23;
0.5730;0.21;-2.90;
0.5740;-0.03;-2.84;
0.5750;-0.21;-2.67;
0.5760;-0.27;-2.56;
0.5770;-0.46;-2.49;
0.5780;-0.59;-2.37;
0.5790;-0.97;-1.87;
0.5800;-1.34;-1.62;
0.5810;-1.22;-1.73;
0.5820;-0.87;-2.15;
0.5830;-0.38;-2.55;
0.5840;-0.31;-2.47;
0.5850;0.21;-2.87;
0.5860;0.67;-2.97;
0.5870;0.78;-3.22;
0.5880;0.97;-3.30;
0.5890;1.03;-3.36;
0.5900;0.72;-3.05;
0.5910;0.52;-2.99;
0.5920;0.34;-2.78;
0.5930;0.06;-2.43;
0.5940;0.14;-2.62;
0.5950;-0.05;-2.25;
0.5960;-0.28;-2.18;
0.5970;-0.39;-2.01;
0.5980;-0.66;-1.88;
0.5990;-1.21;-1.31;
0.6000;-1.54;-1.06;
0.6010;-1.43;-1.08;
0.6020;-0.74;-1.44;
0.6030;-0.34;-1.70;
0.6040;-0.15;-1.74;
0.6050;0.25;-1.95;
0.6060;0.71;-2.22;
0.6070;1.16;-2.53;
0.6080;1.08;-2.55;
0.6090;0.96;-2.47;
0.6100;0.67;-2.08;
0.6110;0.44;-2.04;
0.6120;0.29;-1.76;
0.6130;0.19;-1.57;
0.6140;0.12;-1.54;
0.6150;-0.32;-1.36;
0.6160;-0.29;-1.12;
0.6170;-0.43;-0.99;
0.6180;-0.71;-0.53;
0.6190;-1.18;-0.16;
0.6200;-1.44;0.12;
0.6210;-1.27;0.02;
0.6220;-0.98;-0.26;
0.6230;-0.50;-0.41;
0.6240;-0.35;-0.48;
