Time: 04.07.2022 11:04:06;
Team: Senior Men;
Athlete name: rfd;
Device: NORDIC02;
Comment: ;
#SampleTime[s];Force_left[N];Force_right[N];
0.3910;-0.43;1.33;
0.3920;-0.41;0.88;
0.3930;-0.20;0.30;
0.3940;-0.03;0.11;
0.3950;0.01;-0.39;
0.3960;0.44;-1.06;
0.3970;0.47;-1.28;
0.3980;0.53;-1.44;
0.3990;0.29;-1.00;
0.4000;0.20;-0.42;
0.4010;0.10;-0.48;
0.4020;0.03;-0.33;
0.4030;0.05;-0.24;
0.4040;-0.07;-0.11;
0.4050;0.07;0.03;
0.4060;-0.02;0.11;
0.4070;-0.15;0.22;
0.4080;-0.25;0.59;
0.4090;-0.56;1.30;
0.4100;-0.45;1.32;
0.4110;-0.36;1.29;
0.4120;-0.35;0.90;
0.4130;-0.25;0.37;
0.4140;-0.19;0.26;
0.4150;0.08;-0.31;
0.4160;0.25;-0.95;
0.4170;0.46;-1.21;
0.4180;0.56;-1.57;
0.4190;0.28;-1.14;
0.4200;-0.05;-0.50;
0.4210;0.07;-0.56;
0.4220;0.11;-0.25;
0.4230;-0.02;-0.12;
0.4240;-0.08;-0.06;
0.4250;-0.16;0.13;
0.4260;-0.05;0.30;
0.4270;-0.08;0.33;
0.4280;-0.09;0.65;
0.4290;-0.39;1.42;
0.4300;-0.52;1.39;
0.4310;-0.55;1.25;
0.4320;-0.39;0.90;
0.4330;-0.15;0.46;
0.4340;-0.13;0.25;
0.4350;0.17;-0.60;
0.4360;0.30;-1.06;
0.4370;0.46;-1.16;
0.4380;0.44;-1.43;
0.4390;0.32;-1.03;
0.4400;0.16;-0.44;
0.4410;0.07;-0.36;
0.4420;0.12;-0.15;
0.4430;-0.07;-0.20;
0.4440;-0.11;-0.01;
0.4450;0.01;0.41;
0.4460;0.01;0.34;
0.4470;0.06;0.23;
0.4480;-0.09;0.57;
0.4490;-0.54;1.24;
0.4500;-0.55;1.41;
0.4510;-0.53;1.31;
0.4520;-0.38;0.78;
0.4530;-0.12;0.36;
0.4540;-0.12;0.22;
0.4550;0.09;-0.36;
0.4560;0.27;-1.06;
0.4570;0.45;-1.19;
0.4580;0.40;-1.54;
0.4590;0.39;-1.14;
0.4600;0.13;-0.47;
0.4610;0.07;-0.39;
0.4620;0.06;-0.23;
0.4630;-0.05;-0.35;
0.4640;0.05;0.05;
0.4650;-0.24;0.07;
0.4660;0.04;0.14;
0.4670;-0.10;0.27;
0.4680;-0.34;0.55;
0.4690;-0.49;1.30;
0.4700;-0.53;1.45;
0.4710;-0.48;1.54;
0.4720;-0.33;0.94;
0.4730;-0.06;0.30;
0.4740;-0.24;0.24;
0.4750;0.02;-0.13;
0.4760;0.30;-0.71;
0.4770;0.44;-1.29;
0.4780;0.24;-1.42;
0.4790;0.20;-1.13;
0.4800;0.19;-0.58;
0.4810;0.11;-0.34;
0.4820;0.04;-0.20;
0.4830;0.01;-0.30;
0.4840;-0.04;-0.18;
0.4850;-0.12;0.19;
0.4860;-0.17;0.28;
0.4870;-0.21;0.31;
0.4880;-0.24;0.65;
0.4890;-0.55;1.19;
0.4900;-0.48;1.55;
0.4910;-0.47;1.20;
0.4920;-0.25;0.91;
0.4930;-0.12;0.66;
0.4940;-0.05;0.02;
0.4950;0.19;-0.36;
0.4960;0.34;-1.01;
0.4970;0.51;-1.33;
0.4980;0.49;-1.61;
0.4990;0.37;-1.01;
0.5000;0.17;-0.45;
0.5010;0.10;-0.29;
0.5020;0.01;-0.17;
0.5030;0.07;-0.19;
0.5040;0.09;-0.01;
0.5050;-0.04;0.03;
0.5060;-0.20;0.28;
0.5070;-0.16;0.32;
0.5080;-0.11;0.62;
0.5090;-0.43;1.26;
0.5100;-0.49;1.41;
0.5110;-0.49;1.29;
0.5120;-0.41;0.96;
0.5130;-0.19;0.25;
0.5140;-0.06;0.31;
0.5150;0.15;-0.43;
0.5160;0.30;-1.12;
0.5170;0.45;-1.07;
0.5180;0.42;-1.72;
0.5190;0.46;-1.12;
0.5200;0.23;-0.57;
0.5210;0.22;-0.57;
0.5220;0.07;-0.26;
0.5230;0.01;-0.22;
0.5240;0.10;0.04;
0.5250;-0.12;0.06;
0.5260;-0.12;0.28;
0.5270;-0.15;0.28;
0.5280;-0.13;0.71;
0.5290;-0.56;1.43;
0.5300;-0.52;1.57;
0.5310;-0.47;1.30;
0.5320;-0.37;0.89;
0.5330;-0.02;0.36;
0.5340;-0.06;-0.02;
0.5350;0.03;-0.24;
0.5360;0.24;-1.09;
0.5370;0.37;-1.29;
0.5380;0.44;-1.44;
0.5390;0.43;-0.93;
0.5400;0.19;-0.47;
0.5410;0.01;-0.49;
0.5420;0.13;-0.25;
0.5430;0.09;-0.18;
0.5440;0.00;-0.10;
0.5450;-0.16;0.21;
0.5460;-0.12;0.31;
0.5470;0.07;0.19;
0.5480;-0.36;0.50;
0.5490;-0.40;1.27;
0.5500;-0.44;1.52;
0.5510;-0.52;1.27;
0.5520;-0.39;1.07;
0.5530;-0.11;0.30;
0.5540;-0.08;0.01;
0.5550;-0.03;-0.36;
0.5560;0.23;-0.95;
0.5570;0.49;-1.26;
0.5580;0.54;-1.39;
0.5590;0.22;-1.11;
0.5600;0.14;-0.49;
0.5610;0.11;-0.35;
0.5620;0.11;-0.29;
0.5630;0.21;-0.02;
0.5640;0.12;-0.00;
0.5650;-0.17;-0.02;
0.5660;-0.05;0.15;
0.5670;-0.12;0.16;
0.5680;-0.11;0.58;
0.5690;-0.44;1.42;
0.5700;-0.49;1.39;
0.5710;-0.41;1.34;
0.5720;-0.47;0.99;
0.5730;-0.13;0.37;
0.5740;-0.22;0.12;
0.5750;0.10;-0.32;
0.5760;0.26;-1.05;
0.5770;0.41;-1.41;
0.5780;0.46;-1.60;
0.5790;0.29;-1.12;
0.5800;0.16;-0.49;
0.5810;0.06;-0.55;
0.5820;0.21;-0.34;
0.5830;-0.11;0.00;
0.5840;-0.12;-0.00;
0.5850;0.05;-0.05;
0.5860;-0.13;0.22;
0.5870;-0.13;0.11;
0.5880;-0.23;0.47;
0.5890;-0.35;1.38;
0.5900;-0.33;1.40;
0.5910;-0.40;1.36;
0.5920;-0.35;0.98;
0.5930;-0.02;0.27;
0.5940;0.02;0.08;
0.5950;0.08;-0.47;
0.5960;0.34;-1.04;
0.5970;0.51;-1.34;
